arabic_instruction,instruction
ابحث عن أسماء الفنانين الذين أنتجوا الأغاني الإنجليزية ولكن لم يتلقوا تصنيفًا أعلى من 8.,Find the names of the artists who have produced English songs but have never received rating higher than 8.
ما هي أسماء الفنانين المختلفين الذين أنتجوا أغنية باللغة الإنجليزية ولكن لم يتلقوا تصنيفًا أعلى من 8؟,What are the names of the different artists that have produced a song in English but have never receieved a rating higher than 8?
ابحث عن أسماء الفنانين الذين هم من بنغلاديش ولم يتلقوا تصنيفًا أعلى من 7.,Find the names of the artists who are from Bangladesh and have never received rating higher than 7.
ما هي أسماء الفنانين المختلفين من بنغلاديش الذين لم يتلقوا تصنيفًا أعلى من 7؟,What are the names of the different artists from Bangladesh who never received a rating higher than a 7?
ما هو الاسم الكامل ومعرف الكلية مع أكبر عدد من لاعبي البيسبول؟,what is the full name and id of the college with the largest number of baseball players?
ابحث عن الاسم الكامل ومعرف الكلية الذي يحتوي على معظم لاعبي البيسبول.,Find the full name and id of the college that has the most baseball players.
"ما هو متوسط ​​راتب اللاعبين في الفريق المسمى ""بوسطن ريد جوارب""؟",What is average salary of the players in the team named 'Boston Red Stockings' ?
"حساب متوسط ​​راتب اللاعبين في الفريق يسمى ""بوسطن ريد جوارب"".",Compute the average salary of the players in the team called 'Boston Red Stockings'.
ما هي الأسماء الأولى والأخيرة للاعبين المشاركين في جميع لعبة Star Game في عام 1998؟,What are first and last names of players participating in all star game in 1998?
اذكر الاسم الأول والأخير للاعبين الذين شاركوا في All Star Game في عام 1998.,List the first and last name for players who participated in all star game in 1998.
ما هو الاسم الأول والاسم الأخير ومعرف اللاعب مع أكثر تجارب ألعاب النجوم؟ أيضا قائمة العد.,"What are the first name, last name and id of the player with the most all star game experiences? Also list the count."
أي لاعب لديه أكثر تجارب ألعاب النجوم؟ أعطني الاسم الأول والاسم الأخير ومعرف اللاعب ، وكذلك عدد المرات التي شارك فيها اللاعب في All Star Game.,"Which player has the most all star game experiences? Give me the first name, last name and id of the player, as well as the number of times the player participated in all star game."
كم عدد اللاعبين الذين يدخلون قاعة مشاهير كل عام؟,How many players enter hall of fame each year?
عد عدد اللاعبين الذين يدخلون قاعة مشاهير كل عام.,Count the number of players who enter hall of fame for each year.
ما هو متوسط ​​عدد الحضور في الألعاب المنزلية لكل عام؟,What is the average number of attendance at home games for each year?
لكل عام ، ارجع العام ومتوسط ​​عدد الحضور في الألعاب المنزلية.,"For each year, return the year and the average number of attendance at home games."
في عام 2014 ، ما هو معرف ورتبة الفريق الذي يحتوي على أكبر عدد متوسط ​​من الحضور؟,"In 2014, what are the id and rank of the team that has the largest average number of attendance?"
ابحث عن معرف ورتبة الفريق الذي لديه أعلى معدل حضور في عام 2014.,Find the id and rank of the team that has the highest average attendance rate in 2014.
ما هو الاسم الأول للمدير ، اسم العائلة والمعرف الذي فاز بجائزة المدير الأكثر؟,"What are the manager's first name, last name and id who won the most manager award?"
أي مدير فاز بجائزة أكثر المدير؟ أعطني الاسم الأول للمدير ، الاسم الأخير والمعرف.,"Which manager won the most manager award? Give me the manager's first name, last name and id."
كم عدد الحدائق الموجودة في ولاية نيويورك؟,How many parks are there in the state of NY?
أرني عدد الحدائق التي لديها ولاية نيويورك.,Show me the number of parks the state of NY has.
أي 3 لاعبين فازوا بجوائز اللاعبين؟ قائمة الاسم الكامل ومعرفهم.,Which 3 players won the most player awards? List their full name and id.
ابحث عن الاسم الأول والاسم الأخير والمعرف لأفضل ثلاثة لاعبين فاز بجوائز اللاعبين.,"Find the first name, last name and id for the top three players won the most player awards."
ضع قائمة بثلاث دول هي أصول اللاعبين الأقل.,List three countries which are the origins of the least players.
ما هي الدول الثلاث التي ينبع منها اللاعبون؟,What are the three countries that the least players are from?
ابحث عن الاسم الأول للاعبين والاسم الأخير الذين لديهم سجل وفاة فارغ.,Find all the players' first name and last name who have empty death record.
ما هو الاسم الأول والاسم الأخير للاعبين الذين يكون سجل الموت فارغًا؟,What are the first name and last name of the players whose death record is empty?
كم عدد اللاعبين المولودين في الولايات المتحدة الأمريكية من المقاتلين الأيمن؟ وهذا هو ، لديك قيمة الخليط 'r'.,"How many players born in USA are right-handed batters? That is, have the batter value 'R'."
عد عدد اللاعبين الذين ولدوا في الولايات المتحدة الأمريكية ولديهم معلومات الخفافيش.,Count the number of players who were born in USA and have bats information 'R'.
"ما هو متوسط ​​ارتفاع اللاعبين من الكلية المسمى ""جامعة ييل""؟",What is the average height of the players from the college named 'Yale University'?
"ابحث عن متوسط ​​ارتفاع اللاعبين الذين ينتمون إلى الكلية يسمى ""جامعة ييل"".",Find the average height of the players who belong to the college called 'Yale University'.
ما هو أعلى راتب بين كل فريق؟ سرد اسم الفريق والمعرف والحد الأقصى للراتب.,"What is the highest salary among each team? List the team name, id and maximum salary."
لكل فريق ، أعد اسم الفريق والمعرف والحد الأقصى للراتب بين الفريق.,"For each team, return the team name, id and the maximum salary among the team."
ما هو اسم ومعرف الفريق الذي يقدم أدنى متوسط ​​راتب؟,What are the name and id of the team offering the lowest average salary?
أي فريق يقدم أدنى متوسط ​​راتب؟ أعطني اسم ومعرف الفريق.,Which team offers the lowest average salary? Give me the name and id of the team.
ابحث عن الاسم الأول للاعبين والاسم الأخير الذي فاز بجائزة كل من عام 1960 وفي عام 1961.,Find the players' first name and last name who won award both in 1960 and in 1961.
أي اللاعبين فازوا بجوائز في كل من 1960 و 1961؟ إرجاع أسمائهم الأولى والأسماء الأخيرة.,Which players won awards in both 1960 and 1961? Return their first names and last names.
قائمة الاسم الأول للاعبين والاسم الأخير الذين لديهم وزن أكبر من 220 أو ارتفاع أقصر من 75.,List players' first name and last name who have weight greater than 220 or height shorter than 75.
ما هو الاسم الأول والاسم الأخير للاعبين الذين لديهم وزن أعلى من 220 أو ارتفاع أقل من 75؟,What are the first name and last name of the players who have weight above 220 or height below 75?
سرد أقصى درجات فريق بوسطن ريد جوارب عندما فاز الفريق في مرحلة ما بعد الموسم؟,List the maximum scores of the team Boston Red Stockings when the team won in postseason?
ما هي أقصى درجات التي حصل عليها فريق بوسطن ريد جوارب عندما فاز الفريق في مرحلة ما بعد الموسم؟,What are the maximum scores the team Boston Red Stockings got when the team won in postseason?
كم مرة خسرت جوارب بوسطن ريد في عام 2009 ما بعد الموسم؟,How many times did Boston Red Stockings lose in 2009 postseason?
"عد عدد المرات التي خسر فيها فريق ""بوسطن ريد جوارب"" في عام 2009 بعد الموسم.","Count the number of times the team ""Boston Red Stockings"" lost in 2009 postseason."
ما هو اسم ومعرف الفريق مع أكبر عدد من الانتصارات في عام 2008 بعد الموسم؟,What are the name and id of the team with the most victories in 2008 postseason?
ابحث عن اسم ومعرف الفريق الذي فاز في معظم الأوقات في عام 2008 بعد الموسم.,Find the name and id of the team that won the most times in 2008 postseason.
ما هو عدد الانتصارات التي حصل عليها فريق بوسطن ريد جوارب في المراكز كل عام في التاريخ؟,What is the number of wins the team Boston Red Stockings got in the postseasons each year in history?
في كل عام ، ارجع العام وعدد المرات التي فاز فيها جوارب فريق بوسطن ريد في بوستسونز.,"For each year, return the year and the number of times the team Boston Red Stockings won in the postseasons."
ما هو إجمالي عدد ألعاب ما بعد الموسم التي شارك فيها فريق بوسطن بوسطن ريد جوارب؟,What is the total number of postseason games that team Boston Red Stockings participated in?
كم مرة شاركت فريق فريق بوسطن ريد جوارب في ألعاب ما بعد الموسم؟,How many times in total did the team Boston Red Stockings participate in postseason games?
"كم عدد الألعاب في عام 1885 التي أدت إلى العلاقات (أي قيمة ""العلاقات"" هي ""1"")؟","How many games in 1885 postseason resulted in ties (that is, the value of ""ties"" is '1')?"
"ابحث عن عدد الألعاب المربوطة (قيمة ""العلاقات"" هي ""1"") في عام 1885 بوستسون.","Find the number of tied games (the value of ""ties"" is '1') in 1885 postseason."
ما هو إجمالي الراتب الذي دفعه فريق بوسطن ريد جوارب في عام 2010؟,What is the total salary paid by team Boston Red Stockings in 2010?
ما هي إجمالي نفقات الراتب لفريق بوسطن ريد جوارب في عام 2010؟,What is the total salary expenses of team Boston Red Stockings in 2010?
كم عدد اللاعبين في فريق بوسطن ريد جوارب في عام 2000؟,How many players were in the team Boston Red Stockings in 2000?
كم عدد اللاعبين الذين قاموا بجوارب بوسطن ريد في عام 2000؟,How many players did Boston Red Stockings have in 2000?
سرد أعلى 3 رواتب للاعبين في عام 2001؟,List the 3 highest salaries of the players in 2001?
ما مقدار الراتب الذي حصل عليه أفضل 3 لاعبين مدفوعين جيدًا في عام 2001؟,How much salary did the top 3 well-paid players get in 2001?
ما هي كل قيم رواتب اللاعبين في عامي 2010 و 2001؟,What were all the salary values of players in 2010 and 2001?
اذكر جميع قيم الرواتب التي تلقاها اللاعبون في عامي 2010 و 2001.,List all the salary values players received in 2010 and 2001.
في أي عام دخل أقل الناس قاعة مشاهير؟,In which year did the least people enter hall of fame?
ابحث عن السنة التي يدخل فيها الأشخاص الأقل قاعة مشاهير.,Find the year in which the least people enter hall of fame.
كم عدد الحدائق الموجودة في مدينة أتلانتا؟,How many parks are there in Atlanta city?
كم عدد الحدائق التي لديها مدينة أتلانتا؟,How many parks does Atlanta city have?
"كم عدد الألعاب التي لعبت في بارك ""كولومبيا بارك"" في عام 1907؟","How many games were played in park ""Columbia Park"" in 1907?"
"عد عدد الألعاب التي وقعت في بارك ""كولومبيا بارك"" في عام 1907.","Count the number of games taken place in park ""Columbia Park"" in 1907."
كم عدد الألعاب التي لعبت في سيتي أتلانتا في عام 2000؟,How many games were played in city Atlanta in 2000?
ابحث عن عدد الألعاب التي حدثت في مدينة أتلانتا في عام 2000.,Find the number of games taken place in city Atlanta in 2000.
ما هو إجمالي الحضور في اللعبة المنزلية لفريق بوسطن ريد جوارب من 2000 إلى 2010؟,What is the total home game attendance of team Boston Red Stockings from 2000 to 2010?
كم عدد الألعاب في Total التي تحضرها Team Boston Red Stockings من 2000 إلى 2010؟,How many games in total did team Boston Red Stockings attend from 2000 to 2010?
كم كان اللاعب الذي يحمل الاسم الأول Len و Last Name Barker يكسبان بين عامي 1985 إلى 1990؟,How much did the the player with first name Len and last name Barker earn between 1985 to 1990 in total?
حساب إجمالي الراتب الذي حصل عليه اللاعب مع الاسم الأول Len و Last Name Barker بين عامي 1985 إلى 1990.,Compute the total salary that the player with first name Len and last name Barker received between 1985 to 1990.
قائمة الاسم الأول للاعبين واسم العائلة الذين تلقوا راتب من فريق واشنطن مواطنو في كل من 2005 و 2007.,List players' first name and last name who received salary from team Washington Nationals in both 2005 and 2007.
ما هو الاسم الأول والاسم الأخير للاعبين الذين راتبهم فريق واشنطن مواطنو في عامي 2005 و 2007؟,What are the first name and last name of the players who were paid salary by team Washington Nationals in both 2005 and 2007?
كم عدد الألعاب المنزلية التي لعبها فريق بوسطن ريد جوارب من 1990 إلى 2000 في المجموع؟,How many home games did the team Boston Red Stockings play from 1990 to 2000 in total?
عد إجمالي عدد الألعاب التي حضرها فريق Boston Red Stockings من 1990 إلى 2000.,Count the total number of games the team Boston Red Stockings attended from 1990 to 2000.
أي فريق لديه أقل عدد من الحضور في الألعاب المنزلية في عام 1980؟,Which team had the least number of attendances in home games in 1980?
ابحث عن الفريق الذي حضر أقل عدد من الألعاب المنزلية في عام 1980.,Find the team that attended the least number of home games in 1980.
قائمة أسماء الحالات التي لديها أكثر من 2 حدائق.,List the names of states that have more than 2 parks.
ما هي الدول التي لديها أكثر من 2 حدائق؟,Which states have more than 2 parks?
"كم عدد امتيازات الفريق نشطة ، مع قيمة نشطة ""y""؟","How many team franchises are active, with active value 'Y'?"
"ابحث عن عدد امتيازات الفريق النشطة (لديك ""y"" كمعلومات ""نشطة"").","Find the number of team franchises that are active (have 'Y' as ""active"" information)."
ما هي المدن التي لديها 2 إلى 4 حدائق؟,Which cities have 2 to 4 parks?
ابحث عن جميع المدن التي لديها 2 إلى 4 حدائق.,Find all the cities that have 2 to 4 parks.
أي حديقة كانت معظم الحضور في عام 2008؟,Which park had most attendances in 2008?
أي حديقة حضرها معظم الناس في عام 2008؟,Which park did the most people attend in 2008?
كم عدد عدسات الكاميرا لديها طول بؤري أطول من 15 مم؟,How many camera lenses have a focal length longer than 15 mm?
ابحث عن العلامة التجارية والاسم لكل عدسة كاميرا ، وفرز ترتيبًا تنازليًا من الفتحة القصوى.,"Find the brand and name for each camera lens, and sort in descending order of maximum aperture."
اذكر المعرف ، نظام الألوان ، واسم لجميع الصور.,"List the id, color scheme, and name for all the photos."
ما هو الحد الأقصى ومتوسط ​​ارتفاع الجبال؟,What are the maximum and average height of the mountains?
"ما هو متوسط ​​أهمية الجبال في البلد ""المغرب""؟",What are the average prominence of the mountains in country 'Morocco'?
"ما هو اسم الجبال وارتفاعها وبروزها التي لا تنتمي إلى نطاق ""نطاق أبردار""؟","What are the name, height and prominence of mountains which do not belong to the range 'Aberdare Range'?"
ما هو معرف واسم الصور للجبال؟,What are the id and name of the photos for mountains?
ما هي معرف واسم الجبال التي تحتوي على صورتين على الأقل؟,What are the id and name of the mountains that have at least 2 photos?
ما هي أسماء الكاميرات التي التقطت صورة لمعظم الجبال؟,What are the names of the cameras that have taken picture of the most mountains?
"ما هي أسماء الصور التي تم التقاطها مع العلامة التجارية للعدسة ""Sigma"" أو ""Olympus""؟",What are the names of photos taken with the lens brand 'Sigma' or 'Olympus'?
كم عدد أنواع العلامات التجارية المختلفة الموجودة؟,How many different kinds of lens brands are there?
كم عدد عدسات الكاميرا التي لا تستخدم في التقاط أي صور؟,How many camera lenses are not used in taking any photos?
"كم عدد أنواع عدسات الكاميرا المميزة التي تستخدم لالتقاط صور للجبال في البلاد ""إثيوبيا""؟",How many distinct kinds of camera lenses are used to take photos of mountains in the country 'Ethiopia'?
"اذكر العلامات التجارية للعدسات التي التقطت صورة للجبال مع مجموعة ""Toubkal Atlas"" وصورة من الجبال مع مجموعة ""Lasta Massif""",List the brands of lenses that took both a picture of mountains with range 'Toubkal Atlas' and a picture of mountains with range 'Lasta Massif'
"أظهر اسم الجبال التي لا يتم التقاط صورتها بواسطة عدسة من العلامة التجارية ""Sigma"".",Show the name and prominence of the mountains whose picture is not taken by a lens of brand 'Sigma'.
"اذكر أسماء عدسة الكاميرا التي تحتوي على فرعية ""رقمية"".","List the camera lens names containing substring ""Digital""."
ما هو اسم كل عدسة الكاميرا وعدد الصور التي التقطتها؟ اطلب النتيجة من خلال عدد الصور.,What is the name of each camera lens and the number of photos taken by it? Order the result by the count of photos.
ابحث عن أسماء القنوات التي لا تملكها CCTV.,Find the names of channels that are not owned by CCTV.
ما هي القنوات التي لا تملكها CCTV؟ أعطني أسماء القنوات.,Which channels are not owned by CCTV? Give me the channel names.
قائمة جميع أسماء القنوات التي طلبها تصنيفها في المئة من كبيرة إلى صغيرة.,List all channel names ordered by their rating in percent from big to small.
أعطني قائمة بجميع أسماء القنوات المرتبة حسب تصنيف القناة بترتيب تنازلي.,Give me a list of all the channel names sorted by the channel rating in descending order.
ما هو مالك القناة التي لديها أعلى نسبة تصنيف؟,What is the owner of the channel that has the highest rating ratio?
أرني مالك القناة بأعلى تصنيف.,Show me the owner of the channel with the highest rating.
كم عدد البرامج الموجودة؟,how many programs are there?
عد عدد البرامج.,Count the number of programs.
اذكر جميع أسماء البرامج ، وطلب وقت الإطلاق.,"list all the names of programs, ordering by launch time."
ما هي قائمة أسماء البرامج ، مرتبة حسب ترتيب تاريخ الإطلاق؟,"What is the list of program names, sorted by the order of launch date?"
سرد اسم وأصل ومالك كل برنامج.,"List the name, origin and owner of each program."
ما هو اسم وأصل ومالك كل برنامج؟,"What are the name, origin and owner of each program?"
ابحث عن اسم البرنامج الذي تم إطلاقه مؤخرًا.,find the name of the program that was launched most recently.
ما هو البرنامج الذي تم إطلاقه مؤخرًا؟ إرجاع اسم البرنامج.,Which program was launched most recently? Return the program name.
ابحث عن إجمالي نسبة النسبة المئوية لجميع القنوات التي تملكها CCTV.,find the total percentage share of all channels owned by CCTV.
ما هو إجمالي الحصة (في المئة) لجميع القنوات التي تملكها CCTV؟,What is the total share (in percent) of all the channels owned by CCTV?
ابحث عن أسماء القنوات التي يتم بثها في الصباح.,Find the names of the channels that are broadcast in the morning.
ما هي القنوات التي يتم بثها في الصباح؟ أعطني أسماء القنوات.,Which channels are broadcast in the morning? Give me the channel names.
ما هي أسماء القنوات التي تبث في الصباح والليل؟,what are the names of the channels that broadcast in both morning and night?
ما هي القنوات التي تبث في الصباح وفي الليل؟ أعطني أسماء القنوات.,Which channels broadcast both in the morning and at night? Give me the channel names.
كم عدد البرامج التي يتم بثها في كل قسم من الوقت من اليوم؟,how many programs are broadcast in each time section of the day?
عد عدد البرامج البث في كل قسم من الوقت من اليوم.,Count the number of programs broadcast for each time section of a day.
ابحث عن عدد البرامج المختلفة التي يتم بثها خلال الليل.,find the number of different programs that are broadcast during night time.
"كم عدد البرامج المتميزة التي يتم بثها في وقت ""الليل""؟","How many distinct programs are broadcast at ""Night"" time?"
ابحث عن أسماء البرامج التي لا يتم بثها أبدًا في الصباح.,Find the names of programs that are never broadcasted in the morning.
ما هي البرامج التي لم يتم بثها أبدًا في الصباح؟ أعطني أسماء البرامج.,Which programs are never broadcasted in the morning? Give me the names of the programs.
ابحث عن أصحاب البرامج الذين لديهم بعض البرامج في كل من الصباح والليل.,find the program owners that have some programs in both morning and night time.
من هم أصحاب البرامج التي تبث في الصباح وفي الليل؟,Who are the owners of the programs that broadcast both in the morning and at night?
قائمة جميع أصول البرنامج بالترتيب الأبجدي.,List all program origins in the alphabetical order.
ما هي قائمة أصول البرنامج المطلوبة أبجديًا؟,What is the list of program origins ordered alphabetically?
ما هو عدد أصحاب القنوات المختلفين؟,what is the number of different channel owners?
عد عدد مالكي القنوات المتميزين.,Count the number of distinct channel owners.
ابحث عن أسماء البرامج التي لا يكون أصلها في بكين.,find the names of programs whose origin is not in Beijing.
"ما هي أصول البرامج ليست ""بكين""؟ أعطني أسماء البرنامج.","Which programs' origins are not ""Beijing""? Give me the program names."
ما هي أسماء القنوات التي تملكها CCTV أو HBS؟,What are the names of the channels owned by CCTV or HBS?
سرد أسماء جميع القنوات المملوكة إما CCTV أو HBS,List the names of all the channels owned by either CCTV or HBS
ابحث عن نسبة التقييم الكلية لكل مالك قناة.,Find the total rating ratio for each channel owner.
ما هو إجمالي التصنيف للقناة لكل مالك للقناة؟,What is the total rating of channel for each channel owner?
ابحث عن اسم البرنامج الذي يتم بثه بشكل متكرر.,Find the name of the program that is broadcast most frequently.
أي برنامج يتم بثه بشكل متكرر؟ أعطني اسم البرنامج.,Which program is broadcast most frequently? Give me the program name.
كم عدد الدورات الموجودة في المجموع؟,How many courses are there in total?
ابحث عن إجمالي عدد الدورات المقدمة.,Find the total number of courses offered.
"ما هي أوصاف الدورات التي تحمل اسم ""قاعدة البيانات""؟","What are the descriptions of the courses with name ""database""?"
"إرجاع وصف الدورات المسماة ""قاعدة البيانات"".","Return the description for the courses named ""database""."
"ما هي عناوين مؤلفي الدورة أو المعلمين بالاسم الشخصي ""كاثرين""","What are the addresses of the course authors or tutors with personal name ""Cathrine"""
"إرجاع عناوين مؤلفي الدورة أو المعلمين الذين اسمهم الشخصي ""كاثرين"".","Return the addresses of the course authors or tutors whose personal name is ""Cathrine""."
سرد عناوين جميع مؤلفي الدورة أو المعلمين.,List the addresses of all the course authors or tutors.
ما هو عنوان كل مؤلف أو مدرس في الدورة؟,What is the address of each course author or tutor?
اذكر جميع أسماء تسجيل الدخول وأسماء العائلة بالطبع المؤلف والمعلمين.,List all the login names and family names of course author and tutors.
ما هي أسماء تسجيل الدخول وأسماء العائلة بالطبع المؤلف والمعلمين؟,What are the login names and family names of course author and tutors?
سرد جميع تواريخ التسجيل واستكمال الطلاب.,List all the dates of enrollment and completion of students.
ما هي جميع تواريخ التسجيل والإنجاز في السجل؟,What are all the dates of enrollment and completion in record?
كم عدد الطلاب المتميزين المسجلين في الدورات؟,How many distinct students are enrolled in courses?
ابحث عن عدد الطلاب المتميزين المسجلين في الدورات.,Find the number of distinct students enrolled in courses.
كم عدد الدورات المتميزة التي يتم تسجيلها من قبل الطلاب؟,How many distinct courses are enrolled in by students?
ابحث عن عدد الدورات المميزة التي سجلت الطلاب.,Find the number of distinct courses that have enrolled students.
"ابحث عن تواريخ الاختبارات التي أجريت مع النتيجة ""تمريرة"".","Find the dates of the tests taken with result ""Pass""."
"ما هي الاختبارات التي لديها نتائج ""تمرير""؟ إرجاع التواريخ عندما تم إجراء الاختبارات.","Which tests have ""Pass"" results? Return the dates when the tests were taken."
"كم عدد الاختبارات الناتجة عن ""فشل""؟","How many tests have result ""Fail""?"
"عد عدد الاختبارات مع نتيجة ""فشل"".","Count the number of tests with ""Fail"" result."
"ما هي أسماء تسجيل الدخول للطلاب الذين يحملون اسم العائلة ""وارد""؟","What are the login names of the students with family name ""Ward""?"
"أعد أسماء تسجيل الدخول للطلاب الذين اسم عائلتهم ""وارد"".","Return the login names of the students whose family name is ""Ward""."
"ما هي تواريخ أحدث تسجيل الدخول للطلاب مع اسم العائلة ""Jaskolski"" أو ""Langosh""؟","What are the dates of the latest logon of the students with family name ""Jaskolski"" or ""Langosh""?"
"ابحث عن أحدث تاريخ تسجيل الدخول للطلاب الذين اسم عائلتهم ""Jaskolski"" أو ""Langosh"".","Find the latest logon date of the students whose family name is ""Jaskolski"" or ""Langosh""."
"كم عدد الطلاب الذين لديهم أسماء شخصية تحتوي على كلمة ""ابن""؟","How many students have personal names that contain the word ""son""?"
"ابحث عن عدد الطلاب الذين لديهم كلمة ""ابن"" بأسمائهم الشخصية.","Find the number of students who have the word ""son"" in their personal names."
قائمة جميع أسماء الموضوعات.,List all the subject names.
ما هي أسماء جميع الموضوعات.,What are the names of all the subjects.
اذكر جميع المعلومات حول مؤلفي الدورة والمعلمين بالترتيب الأبجدي للاسم الشخصي.,List all the information about course authors and tutors in alphabetical order of the personal name.
فرز المعلومات حول مؤلفي الدورة والمعلمين بالترتيب الأبجدي للاسم الشخصي.,Sort the information about course authors and tutors in alphabetical order of the personal name.
اذكر الأسماء الشخصية وأسماء العائلة لجميع الطلاب بالترتيب الأبجدي لاسم الأسرة.,List the personal names and family names of all the students in alphabetical order of family name.
ما هي الأسماء الشخصية وأسماء العائلة للطلاب؟ فرز النتيجة في الترتيب الأبجدي لاسم الأسرة.,What are the personal names and family names of the students? Sort the result in alphabetical order of the family name.
سرد كل نتيجة اختبار وعدها بترتيب التنازلي للعد.,List each test result and its count in descending order of count.
لكل نتيجة اختبار مميزة ، ابحث عن عدد الطلاب الذين حصلوا على النتيجة.,"For each distinct test result, find the number of students who got the result."
"ابحث عن اسم تسجيل الدخول لمؤلف الدورة التدريبية الذي يعلم الدورة باسم ""قاعدة البيانات المتقدمة"".","Find the login name of the course author that teaches the course with name ""advanced database""."
"ما هو مؤلف الدورة التدريبية يعلم دورة ""قاعدة البيانات المتقدمة""؟ أعطني اسم تسجيل الدخول.","Which course author teaches the ""advanced database"" course? Give me his or her login name."
"ابحث عن عناوين مؤلفي الدورة الذين يعلمون الدورة مع اسم ""نظام التشغيل"" أو ""بنية البيانات"".","Find the addresses of the course authors who teach the course with name ""operating system"" or ""data structure""."
"ما هي عناوين مؤلفي الدورة الذين يعلمون إما ""نظام التشغيل"" أو ""بنية البيانات"".","What are the addresses of the course authors who teach either ""operating system"" or ""data structure"" course."
ابحث عن الاسم الشخصي واسم العائلة ومعرف المؤلف لمؤلف الدورة التدريبية التي تدرس معظم الدورات.,"Find the personal name, family name, and author ID of the course author that teaches the most courses."
ما هو الاسم الشخصي واسم العائلة ومعرف المؤلف لمؤلف الدورة الذي يدرس معظم الدورات؟,"What are the personal name, family name, and author ID of the course author who teaches the most courses?"
ابحث عن العناوين ومعرفات المؤلف لمؤلفي الدورة التدريبية التي تدرس دورتين على الأقل.,Find the addresses and author IDs of the course authors that teach at least two courses.
ما هي الدورة التدريبية التي يعلمها دورتين أو أكثر؟ أعطني عناوينهم ومعرفات المؤلف.,Which course authors teach two or more courses? Give me their addresses and author IDs.
"ابحث عن أسماء الدورات التي يدرسها المعلم الذي يحمل اسمًا شخصيًا ""Julio"".","Find the names of courses taught by the tutor who has personal name ""Julio""."
"ما هي أسماء الدورات التدريبية التي يدرسها المعلم الذي اسمه الشخص ""جوليو""؟","What are the names of the courses taught by the tutor whose personal name is ""Julio""?"
"ابحث عن أسماء وأوصاف الدورات التي تنتمي إلى الموضوع المسمى ""علوم الكمبيوتر"".","Find the names and descriptions of courses that belong to the subject named ""Computer Science""."
"ما هي أسماء وأوصاف جميع الدورات تحت موضوع ""علوم الكمبيوتر""؟","What are the names and descriptions of the all courses under the ""Computer Science"" subject?"
ابحث عن معرف الموضوع واسم الموضوع والعدد المقابل للدورات التدريبية المتاحة لكل موضوع.,"Find the subject ID, subject name, and the corresponding number of available courses for each subject."
ما هو معرف الموضوع واسم الموضوع وعدد الدورات المتاحة لكل موضوع؟,"What are the subject ID, subject name, and the number of available courses for each subject?"
ابحث عن معرف الموضوع ، واسم الموضوع والعدد المقابل للدورات التدريبية لكل موضوع ، وفرز حسب عدد الدورة بالترتيب الصاعد.,"Find the subject ID, name of subject and the corresponding number of courses for each subject, and sort by the course count in ascending order."
اذكر معرف الموضوع واسم الموضوع وعدد الدورات المتاحة لكل موضوع بترتيب تصاعدي للدورة التدريبية.,"List the subject ID, name of subject and the number of courses available for each subject in ascending order of the course counts."
"ما هو تاريخ تسجيل الدورة المسمى ""الإسبانية""؟","What is the date of enrollment of the course named ""Spanish""?"
"ابحث عن تاريخ الالتحاق بدورة ""الإسبانية"".","Find the the date of enrollment of the ""Spanish"" course."
ما هو اسم الدورة التدريبية التي لديها أكبر عدد من الالتحاق بالطلاب؟,What is the name of the course that has the most student enrollment?
ما هي الدورة المسجلة من قبل معظم الطلاب؟ أعطني اسم الدورة.,Which course is enrolled in by the most students? Give me the course name.
ما هي أسماء الدورات التي لها تسجيل طالب واحد بالضبط؟,What are the names of the courses that have exactly 1 student enrollment?
ابحث عن أسماء الدورات التي لديها تسجيل طالب واحد فقط.,Find the names of the courses that have just one student enrollment.
ما هي أوصاف وأسماء الدورات التي لديها تسجيل الطلاب أكبر من 2؟,What are the descriptions and names of the courses that have student enrollment bigger than 2?
أعد أوصاف وأسماء الدورات التي لديها أكثر من طالبين مسجلين.,Return the descriptions and names of the courses that have more than two students enrolled in.
ما هو اسم كل دورة والعدد المقابل لتسجيل الطلاب؟,What is the name of each course and the corresponding number of student enrollment?
سرد اسم وعدد الطالب المسجل لكل دورة.,List the name and the number of enrolled student for each course.
"ما هي تواريخ الالتحاق بجميع الاختبارات التي لها ""تمرير""؟","What are the enrollment dates of all the tests that have result ""Pass""?"
"ابحث عن تاريخ التسجيل لجميع الاختبارات التي لها نتيجة ""تمرير"".","Find the enrollment date for all the tests that have ""Pass"" result."
"ما هي تواريخ الانتهاء لجميع الاختبارات التي حققت ""فشل""؟","What are the completion dates of all the tests that have result ""Fail""?"
"إرجاع تاريخ الانتهاء لجميع الاختبارات التي لها نتيجة ""فشل"".","Return the completion date for all the tests that have ""Fail"" result."
"اذكر تواريخ التسجيل واستكمال الطالب بالاسم الشخصي ""Karson"".","List the dates of enrollment and completion of the student with personal name ""Karson""."
"في ما التواريخ التي قام بها الطالب الذي اسمه ""Karson"" بالتسجيل وإكمال الدورات؟","On what dates did the student whose personal name is ""Karson"" enroll in and complete the courses?"
"اذكر تواريخ التسجيل واستكمال الطالب مع اسم العائلة ""Zieme"" والاسم الشخصي ""بيرني"".","List the dates of enrollment and completion of the student with family name ""Zieme"" and personal name ""Bernie""."
"في أي تواريخ قام الطالب باسم العائلة ""Zieme"" والاسم الشخصي ""Bernie"" بالتسجيل وإكمال الدورات؟","On what dates did the student with family name ""Zieme"" and personal name ""Bernie"" enroll in and complete the courses?"
